date,food,outfit,dwelling,health,beauty,remote,money,travel,kids,nonfood,telecom,fun,charity,misc
2020-04-07,5281977.8700000355,131878.82,937583.28,542083.0399999998,65728.84,33246.20999999999,21390294.480000004,1317891.46,109152.03000000003,538961.5600000002,267073.09,1076421.7400000019,45245.0,816239.2
2020-04-08,5186576.150000055,203622.45,1015021.6400000004,538541.2500000001,117813.89,17993.770000000004,24101404.90000001,1595751.8299999977,122740.75999999995,608804.2699999997,474916.55000000005,991088.3300000004,5910.0,768280.6200000001
2020-04-09,5243712.540000047,253344.58,1118173.09,627142.41,46528.37000000001,56348.36999999999,27711296.110000003,1311009.6000000006,136778.32,552047.13,385411.6099999999,1243027.919999998,4371.33,351659.80000000005
2020-04-10,7015261.130000078,769580.39,1032040.1799999998,743379.4399999997,144286.42,43894.400000000016,44979249.62999994,1809833.359999998,126175.53,639592.52,599091.7399999999,1487621.8899999985,12250.54,347948.10000000015
2020-04-11,7116393.410000096,565452.01,1018148.7300000003,513414.1600000003,115256.37000000001,36415.799999999996,16580362.610000001,1336661.4299999997,170307.75000000006,715111.5499999999,678479.34,1930772.049999994,8905.91,312321.0
2020-04-12,5583500.390000026,888044.65,1565315.9400000004,401313.9399999999,55972.569999999985,30460.840000000007,13628651.689999996,973242.3099999996,155173.95,574144.1099999998,226636.62999999995,1255416.6499999976,2239.0,430515.7100000001
2020-04-13,5840071.4800000535,701582.58,1602558.4999999995,669744.18,82909.61999999998,22777.7,24980272.61,1536212.7300000014,121060.41,1299952.08,396043.26999999996,1369959.7799999986,1637.52,332177.00000000006
2020-04-14,5773313.760000074,198921.15,1274078.2500000005,644324.0900000003,117247.94999999997,22456.269999999997,30772763.179999996,1574074.3599999987,135617.67,599954.2800000001,734458.47,1293720.2899999972,10341.09,381708.9700000001
2020-04-15,6034011.300000062,171700.49,1218869.8800000001,682961.29,134369.36,9911.57,34565784.08,1518775.4799999984,286252.9,1423400.8099999991,616487.4399999998,1705706.9699999953,20086.05,475476.2400000001
2020-04-16,5991117.30000005,222666.51,1449636.6200000003,532945.0399999999,69770.09999999999,11708.429999999998,29409340.75999999,1379884.469999999,126016.65999999999,913860.0900000001,416899.3599999999,1113127.4699999988,15920.76,453273.56000000006
2020-04-17,7154968.150000066,318034.75000000006,1022332.4499999997,637288.1699999999,113458.80999999998,17393.559999999998,31421870.070000004,1517689.3699999992,401343.35,821933.6599999998,506911.07999999996,1442721.9299999964,5829.65,781832.8
2020-04-18,7317669.930000103,566004.55,1018151.68,619928.3699999993,92246.49999999999,11056.27,18987210.42,1351710.1599999997,142519.42000000004,1060463.5900000005,508550.09999999986,1493267.3099999994,7991.72,563594.5299999999
